"LIDNUM"	"NAME"	"MID_AGE"	"MAX_AGE"	"MIN_AGE"	"ORDER"	"FAMILY"	"SUBFAMILY"	"GENUS"	"UNIQUE"
24316	"Nombrevilla-2"	11.853	11.9183333333333	11.7876666666667	"Artiodactyla"	"Bovidae"	"\N"	"indet."	"-"
28248	"Abocador de Can Mata: C4-Cp"	11.9836666666667	12.049	11.9183333333333	"Primates"	"indet."	"\N"	"indet."	"-"
28242	"Barranc de Can Vila 4"	11.9836666666667	12.049	11.9183333333333	"Primates"	"Hominidae"	"\N"	"indet."	"-"
20600	"Anwil"	12.025	12.85	11.2	"Perissodactyla"	"Rhinocerotidae"	"\N"	"indet."	"-"
24360	"Atalanti"	12.025	12.85	11.2	"Perissodactyla"	"Rhinocerotidae"	"Aceratheriinae"	"indet."	"-"
20105	"Can Feliu"	12.025	12.85	11.2	"Primates"	"Pliopithecidae"	"\N"	"indet."	"-"
27749	"Chapf"	12.025	12.85	11.2	"Artiodactyla"	"Cervidae"	"\N"	"indet."	"-"
27759	"Chräzerentobel 505m"	12.025	12.85	11.2	"Artiodactyla"	"Cervidae"	"\N"	"indet."	"-"
20500	"Comanesti-1"	12.025	12.85	11.2	"Artiodactyla"	"Cervidae"	"\N"	"indet."	"-"
24332	"Felsotárkány (Güdör-kert)"	12.025	12.85	11.2	"Proboscidea"	"indet."	"\N"	"indet."	"-"
24334	"Felsotárkány 3/2"	12.025	12.85	11.2	"Artiodactyla"	"Cervidae"	"\N"	"indet."	"-"
24649	"Grat 930m"	12.025	12.85	11.2	"Artiodactyla"	"indet."	"\N"	"indet."	"Ruminantia"
21883	"Kosice-Bankov"	12.025	12.85	11.2	"Proboscidea"	"indet."	"\N"	"indet."	"-"
20043	"La Ciesma 1"	12.025	12.85	11.2	"Artiodactyla"	"Bovidae"	"\N"	"indet."	"-"
20043	"La Ciesma 1"	12.025	12.85	11.2	"Perissodactyla"	"Rhinocerotidae"	"\N"	"indet."	"-"
20207	"Lower Sinap"	12.025	12.85	11.2	"Primates"	"indet."	"\N"	"indet."	"-"
27625	"Moyuela"	12.025	12.85	11.2	"Artiodactyla"	"Cainotheriidae"	"\N"	"indet."	"-"
21884	"Novaky (Mine Mier)"	12.025	12.85	11.2	"Perissodactyla"	"Rhinocerotidae"	"\N"	"indet."	"-"
21397	"Ottenberg 3"	12.025	12.85	11.2	"Artiodactyla"	"indet."	"\N"	"indet."	"-"
21327	"Petersbuch 6"	12.025	12.85	11.2	"Artiodactyla"	"Bovidae"	"\N"	"indet."	"-"
21327	"Petersbuch 6"	12.025	12.85	11.2	"Artiodactyla"	"Cervidae"	"\N"	"indet."	"-"
23422	"Pismanköy (Yenidibekkoyu)"	12.025	12.85	11.2	"Artiodactyla"	"Bovidae"	"\N"	"indet."	"-"
